Category,Order Date,Segment,Number of Records,Sales Target (Sales Target)
Office Supplies,5/22/2016,Corporate,1,66
Technology,8/4/2015,Corporate,1,445
Furniture,3/23/2015,Consumer,1,216
Office Supplies,10/12/2016,Consumer,1,79
Office Supplies,1/19/2014,Corporate,1,312
Technology,12/20/2016,Corporate,1,3080
Furniture,2/9/2015,Corporate,1,314
Office Supplies,3/10/2016,Consumer,1,79
Office Supplies,12/30/2014,Corporate,1,77
Office Supplies,2/1/2015,Consumer,1,330
Technology,8/20/2015,Consumer,1,623
Furniture,6/23/2016,Consumer,1,37
Office Supplies,6/30/2015,Consumer,1,23
Furniture,7/19/2015,Consumer,1,341
Office Supplies,3/17/2015,Consumer,1,42
Technology,2/22/2016,Consumer,1,46
Office Supplies,8/23/2015,Consumer,1,16
Office Supplies,1/9/2016,Corporate,1,33
Technology,3/22/2015,Corporate,1,84
Furniture,8/6/2014,Consumer,1,1102
Furniture,3/13/2015,Home Office,1,327
Office Supplies,5/21/2014,Consumer,1,7
Technology,8/9/2016,Home Office,1,314
Furniture,10/12/2016,Consumer,1,918
Furniture,9/3/2014,Consumer,1,212
Furniture,11/6/2014,Home Office,1,113
Office Supplies,8/21/2015,Consumer,1,184
Office Supplies,9/22/2014,Corporate,1,65
Office Supplies,6/20/2016,Home Office,1,342
Technology,6/7/2015,Home Office,1,219
Furniture,9/23/2015,Consumer,1,1193
Office Supplies,3/11/2015,Consumer,1,827
Office Supplies,6/24/2015,Corporate,1,2
Technology,7/10/2015,Consumer,1,78
Office Supplies,10/14/2016,Consumer,1,46
Office Supplies,2/7/2015,Corporate,1,63
Furniture,5/27/2014,Corporate,1,181
Office Supplies,8/14/2014,Consumer,1,242
Technology,5/28/2016,Consumer,1,892
Office Supplies,8/1/2016,Corporate,1,12
Technology,2/17/2015,Corporate,1,238
Furniture,3/8/2016,Consumer,1,5
Office Supplies,12/26/2015,Consumer,1,87
Office Supplies,10/31/2016,Corporate,1,278
Office Supplies,1/5/2015,Home Office,1,17
Technology,2/11/2016,Corporate,1,96
Office Supplies,11/6/2014,Consumer,1,832
Office Supplies,8/26/2014,Corporate,1,4795
Office Supplies,10/15/2016,Home Office,1,54
Technology,9/9/2014,Corporate,1,32
Furniture,12/24/2016,Corporate,1,763
Furniture,12/12/2014,Home Office,1,158
Office Supplies,7/18/2016,Corporate,1,241
Office Supplies,2/17/2014,Home Office,1,10
Technology,9/30/2015,Corporate,1,307
Technology,5/9/2015,Home Office,1,109
Furniture,3/17/2015,Consumer,1,9
Office Supplies,2/23/2015,Corporate,1,119
Office Supplies,6/24/2014,Home Office,1,52
Technology,1/23/2016,Corporate,1,535
Technology,10/31/2015,Home Office,1,199
Furniture,11/11/2015,Consumer,1,162
Furniture,5/8/2015,Corporate,1,1167
Furniture,6/25/2016,Home Office,1,109
Office Supplies,6/4/2016,Corporate,1,19
Office Supplies,6/5/2015,Home Office,1,44
Technology,2/11/2015,Home Office,1,340
Office Supplies,12/20/2014,Consumer,1,109
Technology,3/25/2015,Consumer,1,928
Technology,3/7/2014,Home Office,1,720
Furniture,5/7/2014,Corporate,1,312
Office Supplies,9/5/2014,Consumer,1,34
Office Supplies,8/2/2016,Corporate,1,58
Technology,3/31/2015,Corporate,1,1438
Office Supplies,9/16/2014,Corporate,1,548
Office Supplies,5/27/2015,Home Office,1,8
Technology,7/24/2014,Corporate,1,76
Furniture,12/25/2016,Home Office,1,163
Office Supplies,7/1/2015,Home Office,1,92
Office Supplies,3/4/2015,Corporate,1,39
Furniture,5/21/2014,Consumer,1,304
Office Supplies,9/26/2014,Consumer,1,167
Technology,9/2/2015,Consumer,1,444
Furniture,6/15/2014,Home Office,1,76
Office Supplies,8/10/2015,Consumer,1,141
Furniture,8/23/2014,Consumer,1,1326
Office Supplies,6/30/2015,Consumer,1,38
Office Supplies,10/24/2014,Consumer,1,16
Office Supplies,4/29/2015,Corporate,1,829
Office Supplies,8/9/2016,Corporate,1,258
Furniture,6/15/2014,Home Office,1,614
Office Supplies,1/20/2016,Corporate,1,2
Office Supplies,9/30/2014,Home Office,1,51
Furniture,8/19/2014,Home Office,1,1772
Office Supplies,6/22/2016,Home Office,1,313
Technology,4/20/2015,Consumer,1,287
Furniture,6/26/2015,Corporate,1,216
Office Supplies,1/22/2014,Corporate,1,17
Office Supplies,8/6/2016,Home Office,1,35
Office Supplies,9/22/2014,Corporate,1,731
Technology,11/16/2016,Consumer,1,1630
Technology,11/6/2014,Corporate,1,160
Furniture,2/25/2015,Consumer,1,63
Furniture,1/9/2016,Corporate,1,578
Office Supplies,10/12/2016,Consumer,1,16
Office Supplies,9/6/2014,Corporate,1,105
Technology,12/28/2014,Consumer,1,20
Office Supplies,10/19/2014,Consumer,1,1031
Technology,10/1/2014,Consumer,1,51
Office Supplies,5/10/2016,Consumer,1,25
Technology,4/25/2016,Consumer,1,422
Office Supplies,9/5/2015,Consumer,1,47
Office Supplies,10/30/2015,Home Office,1,24
Furniture,6/27/2015,Consumer,1,25
Furniture,4/13/2015,Corporate,1,10
Office Supplies,12/21/2016,Consumer,1,90
Office Supplies,7/5/2015,Corporate,1,62
Furniture,10/4/2016,Consumer,1,124
Office Supplies,9/10/2014,Consumer,1,38
Office Supplies,9/9/2014,Corporate,1,81
Office Supplies,6/23/2014,Home Office,1,267
Furniture,1/3/2015,Consumer,1,960
Office Supplies,9/15/2014,Consumer,1,23
Technology,5/27/2016,Consumer,1,1620
Office Supplies,9/24/2016,Corporate,1,148
Technology,8/10/2016,Consumer,1,229
Furniture,3/17/2014,Consumer,1,522
Office Supplies,10/20/2016,Consumer,1,222
Technology,9/21/2015,Consumer,1,1417
Furniture,7/15/2015,Consumer,1,61
Furniture,12/16/2015,Corporate,1,1031
Office Supplies,6/11/2014,Corporate,1,33
Office Supplies,9/25/2016,Home Office,1,124
Technology,10/9/2016,Consumer,1,195
Furniture,3/24/2016,Consumer,1,639
Furniture,8/5/2014,Corporate,1,296
Office Supplies,7/8/2016,Consumer,1,60
Office Supplies,1/27/2014,Corporate,1,8
Office Supplies,11/9/2015,Home Office,1,418
Technology,8/23/2016,Consumer,1,151
Furniture,8/22/2016,Corporate,1,342
Furniture,8/18/2016,Corporate,1,205
Technology,11/2/2014,Consumer,1,50
Office Supplies,10/4/2016,Home Office,1,85
Furniture,9/21/2014,Consumer,1,127
Office Supplies,8/27/2015,Consumer,1,17
Technology,7/26/2016,Consumer,1,725
Office Supplies,11/18/2016,Consumer,1,82
Furniture,2/2/2015,Corporate,1,131
Office Supplies,11/20/2016,Corporate,1,128
Technology,4/12/2014,Corporate,1,21
Furniture,6/7/2016,Consumer,1,94
Office Supplies,10/29/2014,Consumer,1,78
Office Supplies,4/3/2014,Corporate,1,2634
Office Supplies,10/26/2016,Home Office,1,788
Technology,10/31/2014,Corporate,1,624
Technology,1/31/2016,Consumer,1,168
Office Supplies,1/20/2014,Consumer,1,295
Technology,11/24/2016,Consumer,1,50
Office Supplies,10/18/2015,Consumer,1,108
Furniture,2/24/2015,Consumer,1,28
Office Supplies,3/9/2014,Consumer,1,88
Furniture,7/16/2016,Consumer,1,562
Furniture,5/23/2016,Corporate,1,317
Office Supplies,1/25/2015,Consumer,1,116
Office Supplies,5/9/2014,Home Office,1,44
Technology,2/16/2016,Corporate,1,303
Furniture,12/14/2015,Corporate,1,510
Office Supplies,12/30/2014,Consumer,1,15
Office Supplies,2/22/2016,Corporate,1,356
Technology,9/17/2016,Consumer,1,1298
Office Supplies,10/5/2015,Consumer,1,138
Technology,3/16/2014,Corporate,1,88
Furniture,4/5/2016,Consumer,1,313
Office Supplies,4/11/2015,Consumer,1,77
Office Supplies,5/21/2016,Corporate,1,309
Technology,10/20/2015,Corporate,1,1160
Technology,9/15/2014,Consumer,1,781
Furniture,6/4/2016,Consumer,1,20
Furniture,10/11/2015,Home Office,1,2142
Office Supplies,10/30/2015,Corporate,1,194
Office Supplies,9/17/2016,Home Office,1,1808
Technology,12/24/2015,Consumer,1,891
Furniture,4/18/2015,Home Office,1,62
Office Supplies,11/27/2016,Consumer,1,347
Office Supplies,3/23/2015,Home Office,1,62
Technology,9/18/2014,Consumer,1,218
Furniture,10/15/2016,Consumer,1,497
Office Supplies,12/7/2014,Consumer,1,156
Office Supplies,11/6/2016,Home Office,1,15
Furniture,1/26/2014,Consumer,1,458
Office Supplies,11/27/2016,Consumer,1,17
Office Supplies,11/13/2014,Home Office,1,17
Furniture,10/17/2016,Corporate,1,1091
Office Supplies,2/24/2014,Consumer,1,127
Office Supplies,1/4/2016,Corporate,1,162
Office Supplies,7/19/2014,Home Office,1,99
Furniture,8/18/2016,Consumer,1,237
Office Supplies,3/3/2016,Corporate,1,13
Furniture,9/11/2014,Consumer,1,615
Furniture,2/21/2016,Corporate,1,158
Office Supplies,10/17/2014,Consumer,1,1745
Furniture,11/7/2015,Consumer,1,2909
Furniture,1/5/2014,Corporate,1,38
Office Supplies,7/30/2015,Consumer,1,168
Office Supplies,4/10/2014,Corporate,1,91
Office Supplies,2/14/2014,Home Office,1,76
Technology,4/15/2014,Consumer,1,1891
Technology,1/13/2016,Home Office,1,71
Office Supplies,11/20/2016,Corporate,1,482
Office Supplies,6/16/2015,Corporate,1,14
Furniture,4/14/2014,Home Office,1,209
Furniture,11/7/2015,Corporate,1,961
Office Supplies,9/28/2015,Consumer,1,39
Office Supplies,8/10/2014,Corporate,1,8
Furniture,9/22/2016,Consumer,1,693
Office Supplies,7/6/2016,Consumer,1,102
Furniture,4/7/2014,Consumer,1,7
Office Supplies,6/15/2014,Consumer,1,3313
Technology,9/7/2016,Consumer,1,63
Technology,7/25/2016,Consumer,1,133
Furniture,10/4/2016,Consumer,1,183
Office Supplies,2/22/2016,Consumer,1,1005
Technology,7/30/2016,Consumer,1,565
Furniture,12/15/2014,Consumer,1,117
Office Supplies,6/17/2015,Consumer,1,271
Technology,12/14/2016,Consumer,1,4043
Furniture,10/12/2014,Consumer,1,1004
Office Supplies,4/27/2014,Consumer,1,699
Technology,11/25/2016,Consumer,1,294
Office Supplies,2/26/2015,Consumer,1,22
Technology,6/12/2014,Consumer,1,75
Furniture,12/12/2015,Consumer,1,4
Furniture,1/5/2016,Corporate,1,470
Office Supplies,9/4/2016,Corporate,1,74
Technology,5/16/2014,Corporate,1,248
Furniture,1/25/2014,Consumer,1,86
Office Supplies,6/14/2014,Consumer,1,318
Technology,5/31/2015,Consumer,1,224
Furniture,7/17/2016,Consumer,1,1081
Office Supplies,11/10/2015,Consumer,1,395
Office Supplies,5/4/2016,Corporate,1,6
Office Supplies,8/30/2015,Consumer,1,41
Office Supplies,3/24/2015,Consumer,1,713
Office Supplies,4/11/2014,Corporate,1,80
Office Supplies,6/1/2014,Corporate,1,23
Technology,7/28/2015,Corporate,1,593
Office Supplies,7/25/2015,Consumer,1,5
Technology,2/14/2014,Consumer,1,78
Office Supplies,1/30/2015,Consumer,1,34
Office Supplies,10/28/2016,Corporate,1,178
Furniture,12/30/2015,Corporate,1,254
Office Supplies,10/29/2016,Consumer,1,579
Office Supplies,1/26/2015,Corporate,1,15
Office Supplies,11/17/2016,Home Office,1,192
Technology,11/24/2014,Consumer,1,475
Furniture,4/1/2015,Home Office,1,464
Technology,7/29/2015,Consumer,1,498
Furniture,11/2/2016,Consumer,1,205
Furniture,5/30/2016,Consumer,1,56
Furniture,1/4/2014,Corporate,1,523
Office Supplies,8/11/2014,Corporate,1,181
Furniture,6/6/2015,Home Office,1,127
Office Supplies,6/21/2015,Corporate,1,23
Office Supplies,10/17/2015,Home Office,1,103
Furniture,8/7/2014,Corporate,1,901
Office Supplies,1/3/2015,Consumer,1,82
Office Supplies,12/25/2015,Corporate,1,182
Technology,1/30/2015,Consumer,1,652
Technology,8/4/2016,Corporate,1,184
Furniture,7/21/2014,Consumer,1,121
Furniture,8/6/2014,Corporate,1,768
Furniture,3/23/2016,Home Office,1,543
Office Supplies,12/14/2016,Consumer,1,48
Office Supplies,12/21/2014,Corporate,1,7
Office Supplies,9/1/2014,Home Office,1,321
Technology,3/22/2015,Consumer,1,21
Technology,9/2/2014,Home Office,1,258
Furniture,11/2/2016,Corporate,1,309
Furniture,9/22/2015,Consumer,1,30
Office Supplies,7/26/2014,Consumer,1,90
Office Supplies,10/14/2016,Corporate,1,17
Office Supplies,3/27/2016,Home Office,1,65
Technology,1/1/2016,Consumer,1,37
Technology,8/29/2014,Home Office,1,41
Office Supplies,12/24/2016,Corporate,1,6
Technology,1/29/2015,Corporate,1,3
Furniture,7/17/2014,Home Office,1,280
Office Supplies,10/14/2016,Consumer,1,15
Furniture,11/1/2014,Corporate,1,77
Office Supplies,2/17/2015,Corporate,1,26
Office Supplies,8/24/2014,Home Office,1,7
Technology,9/11/2014,Corporate,1,335
Furniture,6/18/2015,Consumer,1,43
Furniture,11/11/2014,Home Office,1,858
Office Supplies,9/21/2015,Consumer,1,260
Office Supplies,4/11/2014,Corporate,1,482
Office Supplies,1/26/2015,Home Office,1,298
Technology,3/4/2016,Corporate,1,41
Furniture,10/11/2014,Corporate,1,1819
Office Supplies,9/19/2015,Corporate,1,164
Technology,11/15/2014,Consumer,1,37
Furniture,10/26/2016,Consumer,1,773
Office Supplies,7/5/2014,Consumer,1,306
Office Supplies,12/30/2016,Home Office,1,20
Technology,8/13/2015,Consumer,1,171
Office Supplies,8/3/2016,Consumer,1,18
Office Supplies,11/5/2016,Corporate,1,45
Technology,6/12/2015,Consumer,1,1507
Technology,12/27/2015,Corporate,1,914
Furniture,4/4/2016,Consumer,1,69
Office Supplies,9/28/2014,Consumer,1,8736
Office Supplies,6/3/2015,Home Office,1,22
Furniture,10/17/2015,Consumer,1,800
Office Supplies,10/15/2015,Consumer,1,2145
Technology,12/27/2016,Consumer,1,1454
Technology,6/25/2016,Corporate,1,109
Office Supplies,7/3/2014,Corporate,1,315
Technology,12/22/2014,Consumer,1,205
Furniture,1/1/2014,Consumer,1,129
Office Supplies,4/3/2016,Consumer,1,69
Furniture,7/22/2016,Corporate,1,1190
Furniture,2/24/2014,Corporate,1,48
Office Supplies,6/18/2016,Consumer,1,20
Office Supplies,8/19/2014,Corporate,1,152
Office Supplies,8/10/2016,Home Office,1,5
Office Supplies,1/16/2015,Home Office,1,779
Technology,12/30/2014,Home Office,1,18
Furniture,6/16/2015,Consumer,1,203
Office Supplies,7/10/2014,Consumer,1,181
Office Supplies,4/14/2014,Home Office,1,84
Office Supplies,9/26/2016,Consumer,1,1553
Office Supplies,11/3/2016,Corporate,1,376
Technology,8/9/2015,Consumer,1,404
Technology,2/23/2016,Corporate,1,263
Furniture,12/6/2015,Consumer,1,705
Furniture,6/30/2016,Corporate,1,1179
Office Supplies,5/22/2015,Consumer,1,178
Office Supplies,9/3/2016,Corporate,1,101
Technology,10/3/2014,Consumer,1,14
Technology,8/16/2016,Corporate,1,143
Technology,1/24/2015,Consumer,1,273
Furniture,3/14/2014,Consumer,1,520
Furniture,10/8/2015,Home Office,1,48
Office Supplies,8/14/2014,Consumer,1,454
Office Supplies,8/25/2016,Home Office,1,208
Technology,2/17/2016,Consumer,1,1637
Technology,2/8/2015,Home Office,1,909
Office Supplies,11/10/2016,Consumer,1,2018
Office Supplies,1/21/2016,Corporate,1,17
Office Supplies,3/15/2014,Home Office,1,22
Technology,11/9/2015,Corporate,1,164
Technology,2/12/2015,Home Office,1,1376
Furniture,9/11/2016,Consumer,1,12
Office Supplies,9/22/2016,Consumer,1,461
Furniture,11/29/2016,Consumer,1,80
Office Supplies,4/11/2016,Consumer,1,13
Office Supplies,4/9/2014,Corporate,1,198
Office Supplies,12/15/2016,Home Office,1,269
Technology,3/30/2016,Consumer,1,1154
Technology,3/4/2014,Home Office,1,173
Furniture,5/6/2016,Consumer,1,193
Office Supplies,3/20/2015,Consumer,1,661
Furniture,6/17/2016,Consumer,1,725
Office Supplies,9/5/2016,Corporate,1,167
Technology,1/4/2015,Corporate,1,340
Furniture,5/11/2014,Consumer,1,600
Furniture,3/6/2014,Corporate,1,318
Office Supplies,1/9/2016,Consumer,1,103
Office Supplies,9/10/2015,Corporate,1,410
Furniture,11/25/2015,Consumer,1,379
Furniture,11/10/2014,Corporate,1,440
Office Supplies,4/2/2014,Corporate,1,835
Office Supplies,6/14/2016,Consumer,1,20
Office Supplies,6/10/2014,Home Office,1,4
Furniture,3/18/2016,Consumer,1,4
Office Supplies,9/5/2015,Consumer,1,352
Office Supplies,5/11/2016,Corporate,1,52
Office Supplies,11/9/2014,Home Office,1,18
Technology,7/11/2015,Consumer,1,141
Furniture,10/5/2015,Corporate,1,12
Office Supplies,12/22/2014,Corporate,1,40
Furniture,1/14/2016,Corporate,1,6
Office Supplies,11/24/2014,Consumer,1,216
Office Supplies,12/1/2014,Corporate,1,101
Technology,5/16/2014,Consumer,1,998
Technology,5/26/2015,Corporate,1,88
Furniture,5/11/2016,Consumer,1,9
Office Supplies,6/16/2016,Consumer,1,18
Office Supplies,5/30/2014,Home Office,1,8
Technology,5/13/2015,Home Office,1,317
Furniture,12/7/2014,Corporate,1,1207
Office Supplies,5/7/2014,Consumer,1,43
Technology,1/10/2014,Consumer,1,184
Technology,11/26/2016,Corporate,1,563
Furniture,8/4/2014,Consumer,1,178
Office Supplies,12/19/2016,Consumer,1,583
Office Supplies,7/21/2014,Corporate,1,113
Office Supplies,10/4/2014,Consumer,1,118
Technology,7/21/2015,Consumer,1,102
Office Supplies,8/6/2015,Consumer,1,101
Technology,9/17/2015,Consumer,1,303
Furniture,10/14/2014,Consumer,1,60
Office Supplies,2/20/2016,Consumer,1,1908
Technology,2/4/2015,Consumer,1,709
Technology,7/26/2016,Corporate,1,588
Office Supplies,3/9/2015,Consumer,1,16
Office Supplies,9/21/2014,Home Office,1,8
Furniture,4/24/2016,Consumer,1,31
Office Supplies,2/4/2016,Consumer,1,256
Furniture,4/24/2014,Corporate,1,42
Office Supplies,7/21/2016,Corporate,1,58
Furniture,8/24/2014,Consumer,1,932
Furniture,7/15/2015,Corporate,1,46
Furniture,5/4/2014,Home Office,1,793
Office Supplies,10/5/2015,Consumer,1,378
Office Supplies,10/10/2016,Corporate,1,191
Office Supplies,8/21/2014,Home Office,1,74
Technology,7/2/2015,Consumer,1,512
Technology,1/16/2014,Corporate,1,458
Technology,5/14/2016,Home Office,1,265
Furniture,6/1/2016,Consumer,1,3720
Furniture,12/16/2014,Home Office,1,169
Office Supplies,12/20/2016,Consumer,1,1501
Office Supplies,2/6/2015,Corporate,1,17
Office Supplies,4/7/2015,Home Office,1,78
Technology,5/28/2014,Consumer,1,7365
Technology,4/17/2015,Corporate,1,113
Furniture,9/5/2015,Consumer,1,17
Furniture,9/29/2016,Corporate,1,684
Furniture,8/24/2014,Home Office,1,66
Office Supplies,12/25/2014,Consumer,1,124
Office Supplies,6/7/2014,Corporate,1,1610
Office Supplies,9/25/2014,Home Office,1,30
Technology,6/20/2016,Consumer,1,1485
Furniture,6/15/2015,Consumer,1,1742
Office Supplies,7/17/2015,Consumer,1,105
Office Supplies,10/15/2016,Home Office,1,8
Furniture,7/18/2016,Consumer,1,118
Furniture,9/16/2015,Consumer,1,3899
Furniture,10/15/2014,Home Office,1,35
Office Supplies,5/12/2015,Consumer,1,59
Office Supplies,8/14/2014,Corporate,1,156
Office Supplies,3/10/2015,Home Office,1,600
Technology,11/4/2014,Corporate,1,14
Technology,3/16/2016,Home Office,1,111
Furniture,6/16/2016,Consumer,1,16
Furniture,6/16/2015,Home Office,1,330
Office Supplies,9/4/2016,Consumer,1,114
Office Supplies,12/1/2015,Corporate,1,104
Technology,1/26/2014,Consumer,1,751
Furniture,2/7/2014,Consumer,1,552
Furniture,2/9/2014,Corporate,1,10
Office Supplies,8/21/2014,Consumer,1,1147
Office Supplies,12/5/2015,Corporate,1,100
Technology,12/25/2014,Consumer,1,3167
Furniture,9/15/2015,Consumer,1,15
Furniture,4/25/2014,Corporate,1,106
Office Supplies,6/16/2016,Consumer,1,16
Office Supplies,8/5/2016,Corporate,1,29
Furniture,6/13/2015,Consumer,1,35
Office Supplies,2/11/2016,Consumer,1,562
Office Supplies,5/16/2016,Home Office,1,6
Technology,4/3/2014,Consumer,1,116
Furniture,12/12/2014,Corporate,1,836
Office Supplies,3/23/2015,Consumer,1,73
Office Supplies,6/26/2014,Corporate,1,98
Office Supplies,10/2/2016,Home Office,1,5
Technology,1/1/2015,Consumer,1,2599
Technology,4/12/2015,Corporate,1,5915
Furniture,4/6/2014,Consumer,1,2672
Office Supplies,6/3/2014,Consumer,1,138
Office Supplies,7/19/2014,Corporate,1,12
Office Supplies,11/28/2014,Home Office,1,65
Technology,11/6/2014,Consumer,1,1989
Furniture,7/7/2016,Home Office,1,7
Office Supplies,10/1/2016,Consumer,1,233
Office Supplies,3/14/2014,Corporate,1,68
Office Supplies,7/3/2014,Home Office,1,101
Technology,12/14/2014,Consumer,1,1943
Furniture,8/23/2016,Consumer,1,670
Office Supplies,9/4/2016,Consumer,1,239
Office Supplies,12/18/2016,Corporate,1,338
Furniture,4/6/2014,Corporate,1,427
Office Supplies,12/22/2016,Consumer,1,10084
Office Supplies,10/19/2014,Corporate,1,11
Office Supplies,8/17/2014,Home Office,1,51
Technology,11/5/2014,Corporate,1,91
Office Supplies,1/17/2016,Consumer,1,212
Furniture,4/16/2016,Home Office,1,325
Office Supplies,5/5/2016,Home Office,1,59
Furniture,10/26/2015,Consumer,1,156
Furniture,10/4/2014,Corporate,1,20
Furniture,1/10/2014,Home Office,1,521
Office Supplies,2/14/2014,Corporate,1,165
Office Supplies,5/10/2016,Home Office,1,375
Technology,4/23/2015,Consumer,1,148
Technology,4/14/2014,Home Office,1,3
Furniture,6/7/2014,Consumer,1,592
Furniture,12/13/2014,Corporate,1,84
Office Supplies,9/2/2015,Consumer,1,82
Furniture,5/18/2014,Consumer,1,364
Office Supplies,8/19/2015,Corporate,1,158
Furniture,1/16/2015,Consumer,1,316
Furniture,11/4/2014,Corporate,1,443
Furniture,11/4/2014,Home Office,1,2331
Office Supplies,8/29/2014,Consumer,1,2626
Office Supplies,5/8/2016,Corporate,1,1713
Technology,10/28/2016,Consumer,1,604
Furniture,1/11/2015,Corporate,1,14
Office Supplies,3/28/2015,Consumer,1,189
Office Supplies,2/18/2014,Corporate,1,756
Office Supplies,9/19/2015,Home Office,1,5
Office Supplies,12/8/2014,Corporate,1,43
Technology,2/1/2016,Corporate,1,567
Furniture,7/16/2015,Consumer,1,293
Furniture,7/4/2014,Corporate,1,242
Office Supplies,9/5/2016,Consumer,1,98
